layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
11,0.45,0.45,0.4,0.04999999999999999,1.0
12,0.35,0.4,0.4,0.0,1.0
13,0.35,0.4,0.4,0.0,1.0
14,0.4,0.4,0.4,0.0,1.0
15,0.4,0.4,0.4,0.0,1.0
16,0.4,0.45,0.35,0.10000000000000003,1.0
17,0.4,0.45,0.4,0.04999999999999999,1.0
18,0.4,0.35,0.45,-0.10000000000000003,1.0
19,0.45,0.35,0.3684210526315789,-0.01842105263157895,0.9833333333333333
20,0.45,0.35,0.3684210526315789,-0.01842105263157895,0.9833333333333333
21,0.45,0.35,0.4117647058823529,-0.061764705882352944,0.95
22,0.4,0.35,0.42105263157894735,-0.07105263157894737,0.9833333333333333
23,0.35,0.35,0.45,-0.10000000000000003,1.0
24,0.35,0.35,0.4,-0.050000000000000044,1.0
25,0.45,0.4,0.45,-0.04999999999999999,1.0
26,0.45,0.4,0.4,0.0,1.0
27,0.4,0.35,0.4,-0.050000000000000044,1.0
28,0.4,0.4,0.4,0.0,1.0
29,0.4,0.4,0.4,0.0,1.0
30,0.4,0.35,0.35,0.0,1.0
31,0.35,0.4,0.35,0.050000000000000044,1.0
32,0.4,0.45,0.4,0.04999999999999999,1.0
33,0.4,0.4,0.45,-0.04999999999999999,1.0
34,0.4,0.4,0.35,0.050000000000000044,1.0
35,0.4,0.4,0.4,0.0,1.0
