strength,mean_p_positive,std_p_positive,n_samples,delta_from_baseline,model,model_size,num_layers
-0.5,0.0009685647487640381,0.002995094214762443,50,-0.7809301686286926,Qwen/Qwen3-0.6B,0.6B,28
-0.25,0.03654604792594909,0.12181334523335925,50,-0.7453526854515076,Qwen/Qwen3-0.6B,0.6B,28
-0.1,0.47672488808631897,0.47186627056319497,50,-0.30517384529113767,Qwen/Qwen3-0.6B,0.6B,28
-0.05,0.6652903652191162,0.4377239276958368,50,-0.11660836815834041,Qwen/Qwen3-0.6B,0.6B,28
0.0,0.7818987333774566,0.3869476595070552,50,0.0,Qwen/Qwen3-0.6B,0.6B,28
0.05,0.9642135715484619,0.17430732142565308,50,0.18231483817100524,Qwen/Qwen3-0.6B,0.6B,28
0.1,0.9998112046718597,0.00020626417850456763,50,0.21791247129440305,Qwen/Qwen3-0.6B,0.6B,28
0.25,0.999856675863266,5.564286176502715e-05,50,0.21795794248580935,Qwen/Qwen3-0.6B,0.6B,28
0.5,0.9998614120483399,2.8018214129975756e-05,50,0.21796267867088326,Qwen/Qwen3-0.6B,0.6B,28
