strength,behavior_rate,n_valid,model,concept,layer_start,layer_end
-2.0,0.6666666666666666,84,Qwen/Qwen3-32B,self_awareness_text_model,31,31
-1.0,0.7209302325581395,86,Qwen/Qwen3-32B,self_awareness_text_model,31,31
-0.5,0.6781609195402298,87,Qwen/Qwen3-32B,self_awareness_text_model,31,31
-0.25,0.7045454545454546,88,Qwen/Qwen3-32B,self_awareness_text_model,31,31
0.0,0.6521739130434783,92,Qwen/Qwen3-32B,self_awareness_text_model,31,31
0.25,0.6931818181818182,88,Qwen/Qwen3-32B,self_awareness_text_model,31,31
0.5,0.6704545454545454,88,Qwen/Qwen3-32B,self_awareness_text_model,31,31
1.0,0.6551724137931034,87,Qwen/Qwen3-32B,self_awareness_text_model,31,31
2.0,0.6477272727272727,88,Qwen/Qwen3-32B,self_awareness_text_model,31,31
