strength,behavior_rate,n_valid,model,concept,layer_start,layer_end
-2.0,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
-1.0,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
-0.5,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
-0.25,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
0.0,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
0.25,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
0.5,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
1.0,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
2.0,0.54,100,Qwen/Qwen3-32B,consciousness,21,21
