strength,behavior_rate,n_valid,model,concept,layer_start,layer_end
-2.0,0.5510204081632653,98,Qwen/Qwen3-8B,consciousness,13,13
-1.0,0.5454545454545454,99,Qwen/Qwen3-8B,consciousness,13,13
-0.5,0.5360824742268041,97,Qwen/Qwen3-8B,consciousness,13,13
-0.25,0.5353535353535354,99,Qwen/Qwen3-8B,consciousness,13,13
0.0,0.5353535353535354,99,Qwen/Qwen3-8B,consciousness,13,13
0.25,0.5454545454545454,99,Qwen/Qwen3-8B,consciousness,13,13
0.5,0.53125,96,Qwen/Qwen3-8B,consciousness,13,13
1.0,0.5360824742268041,97,Qwen/Qwen3-8B,consciousness,13,13
2.0,0.5353535353535354,99,Qwen/Qwen3-8B,consciousness,13,13
