layer,baseline_mean,positive_mean,negative_mean,delta
15,-0.26979867219924925,4.438161721825599,-2.5212648779153826,6.959426599740982
16,-0.26979867219924925,6.562071445584297,-1.8592050880193711,8.421276533603669
17,-0.26979867219924925,6.9165365308523175,-1.8453230053186416,8.76185953617096
18,-0.26979867219924925,7.7645016491413115,-1.0437010794878006,8.808202728629112
19,-0.26979867219924925,4.7186136722564695,-3.2607995182275773,7.979413190484047
20,-0.26979867219924925,4.855203372240067,-3.141886442899704,7.997089815139771
21,-0.26979867219924925,5.046053433418274,-2.9126813292503355,7.95873476266861
22,-0.26979867219924925,4.808838891983032,-2.8314033150672913,7.640242207050323
23,-0.26979867219924925,4.607803592085839,-4.086243724822998,8.694047316908836
24,-0.26979867219924925,7.117813929915428,-4.612102258205414,11.729916188120843
25,-0.26979867219924925,6.203166583180428,-4.319904512166977,10.523071095347404
26,-0.26979867219924925,8.646782824397087,-5.2270757257938385,13.873858550190926
27,-0.26979867219924925,7.479523712396622,-4.0292813092470166,11.508805021643639
28,-0.26979867219924925,7.71002671122551,-3.308035072684288,11.018061783909797
29,-0.26979867219924925,7.129557663202286,-4.6825834721326824,11.812141135334969
30,-0.26979867219924925,6.909708487987518,-2.6365805208683013,9.546289008855819
31,-0.26979867219924925,5.253861260414124,-6.787175890803337,12.041037151217461
32,-0.26979867219924925,4.171663543581962,-5.6889635026454926,9.860627046227455
33,-0.26979867219924925,4.0384950041770935,-6.352767014503479,10.391262018680573
34,-0.26979867219924925,3.5084781020879747,-6.948471266031265,10.45694936811924
35,-0.26979867219924925,3.645594620704651,-5.961598744988441,9.607193365693092
36,-0.26979867219924925,2.258207806944847,-2.920300254225731,5.178508061170578
37,-0.26979867219924925,2.525205358862877,-3.984501987695694,6.509707346558571
38,-0.26979867219924925,1.2560682028532029,-2.228380820155144,3.484449023008347
39,-0.26979867219924925,0.6774477511644363,-1.1007954686880113,1.7782432198524476
40,-0.26979867219924925,0.977552306652069,-1.1156762808561325,2.0932285875082015
41,-0.26979867219924925,-0.24474839866161346,-0.28717284798622134,0.04242444932460787
42,-0.26979867219924925,-0.28161231577396395,-0.14689063429832458,-0.13472168147563937
43,-0.26979867219924925,-0.31725953221321107,-0.1561512678861618,-0.16110826432704928
44,-0.26979867219924925,-0.23133659064769746,-0.30227098762989046,0.070934396982193
45,-0.26979867219924925,-0.2986027359962463,-0.28704139590263367,-0.011561340093612649
46,-0.26979867219924925,-0.24684226512908936,-0.2592386960983276,0.012396430969238259
47,-0.26979867219924925,-0.331967955827713,-0.1812673568725586,-0.1507005989551544
