model_size,num_layers,baseline_p_pos,p_pos_at_0.5,p_pos_at_-0.5,p_pos_at_1.0,max_delta,optimal_strength,steering_range
0.6B,28,0.5115389025211334,0.9996343743801116,0.0011707925796508,0.850768004655838,0.4880954718589783,0.5,0.9984635818004608
1.7B,28,0.4821609723567963,0.9499474215507508,0.0500748550891876,0.6580631029605866,0.4677864491939544,0.5,0.8998725664615632
4B,36,0.59076012134552,0.8911653852462769,0.0828016948699951,0.1261979830265045,0.3004052639007568,0.5,0.8083636903762818
8B,36,0.714544596672058,0.95816796541214,0.0391051995754241,0.5667832267284393,0.2438790214061738,0.25,0.9190627658367159
14B,40,0.5790171694755554,0.9998426914215088,0.131158013343811,0.409707624912262,0.4208255219459534,0.5,0.8686846780776978
32B,64,0.7496246981620789,0.999858969449997,0.0370666849613189,0.1375955355167389,0.2502342712879181,0.5,0.962792284488678
