strength,mean_p_positive,std_p_positive,n_samples,delta_from_baseline,model,model_size,num_layers
-1.0,0.11890356183052063,0.22085395852522624,50,-0.46011360764503473,Qwen/Qwen3-14B,14B,40
-0.5,0.13115801334381103,0.31218334652765223,50,-0.4478591561317443,Qwen/Qwen3-14B,14B,40
-0.25,0.022193453311920165,0.13863751814200767,50,-0.5568237161636352,Qwen/Qwen3-14B,14B,40
-0.1,0.08058013916015624,0.23264910701636002,50,-0.4984370303153991,Qwen/Qwen3-14B,14B,40
0.0,0.5790171694755554,0.4652953834972589,50,0.0,Qwen/Qwen3-14B,14B,40
0.1,0.8604737067222595,0.3199111028505922,50,0.28145653724670416,Qwen/Qwen3-14B,14B,40
0.25,0.9798125076293945,0.1405945181195495,50,0.40079533815383916,Qwen/Qwen3-14B,14B,40
0.5,0.9998426914215088,0.00013574276948362946,50,0.42082552194595346,Qwen/Qwen3-14B,14B,40
1.0,0.409707624912262,0.4608113793575164,50,-0.1693095445632934,Qwen/Qwen3-14B,14B,40
