layer,baseline_mean,positive_mean,negative_mean,delta
15,-1.0086707305908202,0.2146000862121582,-1.7056994724273682,1.9202995586395264
16,-1.0086707305908202,0.4087954902648926,-2.503119398355484,2.9119148886203767
17,-1.0086707305908202,0.3084477066993713,-2.257927861213684,2.566375567913055
18,-1.0086707305908202,0.5100277137756347,-2.661826995611191,3.1718547093868255
19,-1.0086707305908202,0.016963040828704833,-1.7436500072479248,1.7606130480766298
20,-1.0086707305908202,-0.3670546817779541,-1.3284681272506713,0.9614134454727172
21,-1.0086707305908202,-0.7937064862251282,-1.1138611268997192,0.320154640674591
22,-1.0086707305908202,-0.5387594890594483,-1.4545258712768554,0.9157663822174071
23,-1.0086707305908202,-0.07419544219970703,-1.5732530212402345,1.4990575790405274
24,-1.0086707305908202,0.18175010681152343,-2.6991743421554566,2.88092444896698
25,-1.0086707305908202,0.6166121673583984,-2.732488065958023,3.3491002333164213
26,-1.0086707305908202,0.9128601455688476,-3.5786465311050417,4.49150667667389
27,-1.0086707305908202,0.72340087890625,-2.924154167175293,3.6475550460815427
28,-1.0086707305908202,0.7899729156494141,-2.6360795593261717,3.426052474975586
29,-1.0086707305908202,0.861318244934082,-2.6821365928649903,3.5434548377990724
30,-1.0086707305908202,0.8148161792755126,-2.392761478424072,3.2075776576995847
31,-1.0086707305908202,1.0825315856933593,-2.3263053560256957,3.4088369417190547
32,-1.0086707305908202,0.8553550720214844,-1.918521556854248,2.7738766288757324
33,-1.0086707305908202,1.3237060546875,-1.9239144897460938,3.2476205444335937
34,-1.0086707305908202,1.005684814453125,-1.7353312110900878,2.741016025543213
35,-1.0086707305908202,1.10110107421875,-2.4718291091918947,3.5729301834106444
36,-1.0086707305908202,0.09942492961883545,-2.4044265365600586,2.503851466178894
37,-1.0086707305908202,0.12188079357147216,-2.2538151645660403,2.3756959581375123
38,-1.0086707305908202,-0.3327927112579346,-1.8275860691070556,1.494793357849121
39,-1.0086707305908202,-0.5798865509033203,-1.4385770416259767,0.8586904907226564
40,-1.0086707305908202,-0.4588507080078125,-1.8912306594848634,1.4323799514770508
41,-1.0086707305908202,-0.7679255676269531,-1.2529538726806642,0.4850283050537111
42,-1.0086707305908202,-0.7115400695800781,-1.319283447265625,0.6077433776855469
43,-1.0086707305908202,-0.9322994995117188,-1.032548370361328,0.10024887084960932
44,-1.0086707305908202,-0.9363459014892578,-1.0433772277832032,0.1070313262939454
45,-1.0086707305908202,-0.9392111206054687,-0.997235107421875,0.0580239868164063
46,-1.0086707305908202,-0.9562835693359375,-1.0116079711914063,0.05532440185546883
47,-1.0086707305908202,-1.0103197479248047,-0.973485107421875,-0.03683464050292973
