layer,baseline_mean,positive_mean,negative_mean,delta
21,1.0353515625,1.02896484375,1.057939453125,-0.02897460937499985
22,1.0353515625,1.01609375,1.068544921875,-0.052451171875000036
23,1.0353515625,0.99701171875,1.06736328125,-0.07035156249999996
24,1.0353515625,1.029072265625,1.10078125,-0.07170898437500006
25,1.0353515625,1.017919921875,1.125546875,-0.10762695312500004
26,1.0353515625,0.9982275390625,1.1178125,-0.11958496093750015
27,1.0353515625,1.038515625,1.0582421875,-0.019726562500000044
28,1.0353515625,1.09908203125,1.031796875,0.06728515625000009
29,1.0353515625,1.068828125,1.0384765625,0.03035156249999993
30,1.0353515625,1.0255078125,1.06017578125,-0.03466796875
31,1.0353515625,1.075888671875,1.04693359375,0.02895507812500009
32,1.0353515625,1.091337890625,0.996220703125,0.09511718749999998
33,1.0353515625,1.130517578125,0.923857421875,0.20666015625000012
34,1.0353515625,1.11291015625,0.96451171875,0.14839843749999992
35,1.0353515625,1.121474609375,0.94669921875,0.17477539062500014
36,1.0353515625,1.0151171875,1.033642578125,-0.018525390625000027
37,1.0353515625,1.02017578125,1.03443359375,-0.014257812499999911
38,1.0353515625,1.0536328125,0.968759765625,0.08487304687500008
39,1.0353515625,1.0486572265625,1.00708984375,0.04156738281250005
40,1.0353515625,1.10494140625,0.6148828125,0.49005859375000005
41,1.0353515625,1.1960693359375,0.243330078125,0.9527392578125001
42,1.0353515625,0.83716796875,0.57951171875,0.25765625000000003
43,1.0353515625,-0.05337890625,-1.1184765625,1.0650976562499999
44,1.0353515625,-0.375546875,-0.780986328125,0.405439453125
45,1.0353515625,-1.215390625,-0.413056640625,-0.8023339843749999
46,1.0353515625,-0.1341796875,-0.5152734375,0.38109375
47,1.0353515625,0.89859375,-0.14390625,1.0425
48,1.0353515625,0.0455078125,-0.0648828125,0.11039062499999999
49,1.0353515625,1.4280908203125,-0.8605859375,2.2886767578125
50,1.0353515625,1.3232080078125,-0.230703125,1.5539111328125
51,1.0353515625,1.70110107421875,0.28859375,1.41250732421875
52,1.0353515625,1.2053271484375,0.7306640625,0.47466308593750006
53,1.0353515625,1.16978515625,0.8900390625,0.2797460937499999
54,1.0353515625,1.1391015625,0.90453125,0.23457031250000004
55,1.0353515625,1.138115234375,0.89890625,0.23920898437500004
56,1.0353515625,1.15931640625,0.880771484375,0.27854492187500013
57,1.0353515625,1.049921875,0.9426953125,0.10722656249999984
58,1.0353515625,0.974453125,1.0050390625,-0.03058593750000005
59,1.0353515625,1.12916015625,0.89751953125,0.23164062500000004
60,1.0353515625,1.118564453125,0.9200390625,0.19852539062500008
61,1.0353515625,1.155078125,0.888857421875,0.2662207031249999
62,1.0353515625,0.9885546875,1.013017578125,-0.024462890624999956
63,1.0353515625,0.99328125,1.03099609375,-0.037714843750000004
