layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
9,0.5,0.45,0.5,-0.04999999999999999,1.0
10,0.45,0.45,0.47368421052631576,-0.023684210526315752,0.9833333333333333
11,0.45,0.45,0.4,0.04999999999999999,1.0
12,0.5,0.45,0.5,-0.04999999999999999,1.0
13,0.5,0.5,0.45,0.04999999999999999,1.0
14,0.45,0.4,0.55,-0.15000000000000002,1.0
15,0.45,0.45,0.5,-0.04999999999999999,1.0
16,0.45,0.45,0.5,-0.04999999999999999,1.0
17,0.5,0.4,0.5,-0.09999999999999998,1.0
18,0.4,0.45,0.45,0.0,1.0
19,0.45,0.45,0.47368421052631576,-0.023684210526315752,0.9833333333333333
20,0.5,0.45,0.5,-0.04999999999999999,1.0
21,0.45,0.55,0.5,0.050000000000000044,1.0
22,0.5,0.45,0.45,0.0,1.0
23,0.45,0.5,0.45,0.04999999999999999,1.0
24,0.45,0.5,0.45,0.04999999999999999,1.0
25,0.45,0.5,0.45,0.04999999999999999,1.0
26,0.5,0.45,0.45,0.0,1.0
27,0.5,0.45,0.5,-0.04999999999999999,1.0
