layer,baseline_rate,positive_rate,negative_rate,delta,valid_rate
11,0.35,0.4,0.35,0.050000000000000044,1.0
12,0.35,0.4,0.4,0.0,1.0
13,0.35,0.4,0.35,0.050000000000000044,1.0
14,0.35,0.35,0.35,0.0,1.0
15,0.4,0.4,0.35,0.050000000000000044,1.0
16,0.35,0.35,0.35,0.0,1.0
17,0.35,0.35,0.35,0.0,1.0
18,0.35,0.35,0.35,0.0,1.0
19,0.35,0.35,0.35,0.0,1.0
20,0.35,0.35,0.4,-0.050000000000000044,1.0
21,0.35,0.35,0.45,-0.10000000000000003,1.0
22,0.35,0.35,0.45,-0.10000000000000003,1.0
23,0.4,0.35,0.35,0.0,1.0
24,0.35,0.35,0.35,0.0,1.0
25,0.4,0.35,0.35,0.0,1.0
26,0.35,0.4,0.35,0.050000000000000044,1.0
27,0.35,0.35,0.35,0.0,1.0
28,0.35,0.35,0.35,0.0,1.0
29,0.35,0.35,0.35,0.0,1.0
30,0.35,0.35,0.35,0.0,1.0
31,0.35,0.35,0.4,-0.050000000000000044,1.0
32,0.35,0.4,0.35,0.050000000000000044,1.0
33,0.4,0.35,0.35,0.0,1.0
34,0.35,0.4,0.35,0.050000000000000044,1.0
35,0.35,0.35,0.35,0.0,1.0
