layer,baseline_mean,positive_mean,negative_mean,delta
21,-1.06349609375,-1.03744140625,-1.104521484375,0.06708007812500005
22,-1.06349609375,-1.03787109375,-1.085029296875,0.047158203124999964
23,-1.06349609375,-1.046640625,-1.108818359375,0.06217773437500007
24,-1.06349609375,-1.08283203125,-1.0695703125,-0.013261718749999929
25,-1.06349609375,-0.8969921875,-1.161103515625,0.26411132812500004
26,-1.06349609375,-1.08296875,-1.010126953125,-0.07284179687500014
27,-1.06349609375,-1.0211328125,-1.117490234375,0.09635742187499985
28,-1.06349609375,-0.99986328125,-1.077392578125,0.07752929687499999
29,-1.06349609375,-0.9850390625,-1.080791015625,0.09575195312500007
30,-1.06349609375,-1.007734375,-1.10607421875,0.09833984374999982
31,-1.06349609375,-1.00671875,-1.120859375,0.11414062499999988
32,-1.06349609375,-1.03046875,-1.03310546875,0.0026367187500000444
33,-1.06349609375,-1.00513671875,-1.097998046875,0.09286132812499992
34,-1.06349609375,-0.9309375,-1.22984375,0.29890624999999993
35,-1.06349609375,-0.88072265625,-1.3107421875,0.43001953125000003
36,-1.06349609375,-0.95259765625,-1.21255859375,0.25996093750000004
37,-1.06349609375,-0.8917578125,-1.28005859375,0.38830078125
38,-1.06349609375,-0.845390625,-1.355859375,0.5104687500000001
39,-1.06349609375,-0.78322265625,-1.376455078125,0.593232421875
40,-1.06349609375,-0.9096875,-1.248251953125,0.33856445312500005
41,-1.06349609375,-1.19568359375,-1.37357421875,0.17789062499999986
42,-1.06349609375,-0.69462890625,-1.558603515625,0.863974609375
43,-1.06349609375,-0.612109375,-1.10017578125,0.48806640625
44,-1.06349609375,-0.52677734375,-1.94859375,1.42181640625
45,-1.06349609375,-0.0676171875,-2.0254296875,1.9578125
46,-1.06349609375,0.379140625,-2.241796875,2.6209375
47,-1.06349609375,0.561015625,-2.2149365234375,2.7759521484375
48,-1.06349609375,0.070390625,-2.07541015625,2.1458007812499997
49,-1.06349609375,-0.03421875,-1.971640625,1.937421875
50,-1.06349609375,-0.61650390625,-1.421142578125,0.804638671875
51,-1.06349609375,-0.0025,-2.1495703125,2.1470703125
52,-1.06349609375,-0.785390625,-1.306259765625,0.5208691406249999
53,-1.06349609375,-1.0539453125,-1.070859375,0.016914062499999938
54,-1.06349609375,-1.071376953125,-1.05142578125,-0.01995117187499984
55,-1.06349609375,-1.0921875,-1.01951171875,-0.07267578125000007
56,-1.06349609375,-1.065439453125,-1.05337890625,-0.012060546874999911
57,-1.06349609375,-1.027578125,-1.09771484375,0.07013671874999994
58,-1.06349609375,-1.03193359375,-1.09234375,0.0604101562499999
59,-1.06349609375,-1.0413671875,-1.07490234375,0.03353515625000014
60,-1.06349609375,-1.019609375,-1.0921875,0.07257812500000016
61,-1.06349609375,-1.03564453125,-1.08458984375,0.04894531249999989
62,-1.06349609375,-1.01923828125,-1.07216796875,0.052929687500000044
63,-1.06349609375,-1.063671875,-1.0605078125,-0.003164062500000009
